"species","property","sample_size","significant_count"
"hsapiens","Opening",50,18
"hsapiens","ProT",50,27
"hsapiens","Rise",50,7
"hsapiens","Roll",50,77
"hsapiens","Shear",50,0
"hsapiens","Shift",50,3
"hsapiens","Slide",50,60
"hsapiens","Stagger",50,48
"hsapiens","Stretch",50,33
"hsapiens","Tilt",50,14
"hsapiens","Buckle",100,27
"hsapiens","HelT",100,43
"hsapiens","MGW",100,179
"hsapiens","Opening",100,61
"hsapiens","ProT",100,65
"hsapiens","Rise",100,35
"hsapiens","Roll",100,128
"hsapiens","Shear",100,6
"hsapiens","Shift",100,26
"hsapiens","Slide",100,110
"hsapiens","Stagger",100,84
"hsapiens","Stretch",100,80
"hsapiens","Tilt",100,38
"pfalciparum","Buckle",1,0
"pfalciparum","HelT",1,0
"pfalciparum","MGW",1,0
"pfalciparum","Opening",1,0
"pfalciparum","ProT",1,0
"pfalciparum","Rise",1,0
"pfalciparum","Roll",1,0
"pfalciparum","Shear",1,0
"pfalciparum","Shift",1,0
"pfalciparum","Slide",1,0
"pfalciparum","Stagger",1,0
"pfalciparum","Stretch",1,0
"pfalciparum","Tilt",1,0
"pfalciparum","Buckle",10,0
"pfalciparum","HelT",10,58
"pfalciparum","MGW",10,116
"pfalciparum","Opening",10,49
"pfalciparum","ProT",10,37
"pfalciparum","Rise",10,2
"pfalciparum","Roll",10,46
"pfalciparum","Shear",10,0
"pfalciparum","Shift",10,2
"pfalciparum","Slide",10,38
"pfalciparum","Stagger",10,0
"pfalciparum","Stretch",10,34
"pfalciparum","Tilt",10,0
"pfalciparum","Buckle",50,4
"pfalciparum","HelT",50,226
"pfalciparum","MGW",50,270
"pfalciparum","Opening",50,204
"pfalciparum","ProT",50,194
"pfalciparum","Rise",50,19
"pfalciparum","Roll",50,206
"pfalciparum","Shear",50,0
"pfalciparum","Shift",50,9
"pfalciparum","Slide",50,181
"pfalciparum","Stagger",50,9
"pfalciparum","Stretch",50,93
"pfalciparum","Tilt",50,7
"pfalciparum","Buckle",100,23
"pfalciparum","HelT",100,275
"pfalciparum","MGW",100,300
"pfalciparum","Opening",100,246
"pfalciparum","ProT",100,252
"pfalciparum","Rise",100,63
"pfalciparum","Roll",100,263
"pfalciparum","Shear",100,15
"pfalciparum","Shift",100,23
"pfalciparum","Slide",100,237
"pfalciparum","Stagger",100,33
"pfalciparum","Stretch",100,149
"pfalciparum","Tilt",100,27
"scerevisiae","Buckle",1,0
"scerevisiae","HelT",1,0
"scerevisiae","MGW",1,0
"scerevisiae","Opening",1,0
"scerevisiae","ProT",1,0
"scerevisiae","Rise",1,0
"scerevisiae","Roll",1,0
"scerevisiae","Shear",1,0
"scerevisiae","Shift",1,0
"scerevisiae","Slide",1,0
"scerevisiae","Stagger",1,0
"scerevisiae","Stretch",1,0
"scerevisiae","Tilt",1,0
"scerevisiae","Buckle",10,0
"scerevisiae","HelT",10,9
"scerevisiae","MGW",10,20
"scerevisiae","Opening",10,0
"scerevisiae","ProT",10,2
"scerevisiae","Rise",10,0
"scerevisiae","Roll",10,2
"scerevisiae","Shear",10,0
"scerevisiae","Shift",10,0
"scerevisiae","Slide",10,3
"scerevisiae","Stagger",10,0
"scerevisiae","Stretch",10,2
"scerevisiae","Tilt",10,0
"scerevisiae","Buckle",50,5
"scerevisiae","HelT",50,86
"scerevisiae","MGW",50,112
"scerevisiae","Opening",50,49
"scerevisiae","ProT",50,62
"scerevisiae","Rise",50,4
"scerevisiae","Roll",50,54
"scerevisiae","Shear",50,1
"scerevisiae","Shift",50,3
"scerevisiae","Slide",50,66
"scerevisiae","Stagger",50,12
"scerevisiae","Stretch",50,93
"scerevisiae","Tilt",50,4
"scerevisiae","Buckle",100,23
"scerevisiae","HelT",100,137
"scerevisiae","MGW",100,155
"scerevisiae","Opening",100,85
"scerevisiae","ProT",100,90
"scerevisiae","Rise",100,37
"scerevisiae","Roll",100,106
"scerevisiae","Shear",100,6
"scerevisiae","Shift",100,19
"scerevisiae","Slide",100,104
"scerevisiae","Stagger",100,46
"scerevisiae","Stretch",100,161
"scerevisiae","Tilt",100,21
