species1,species2,property,cosine_similarity
athaliana,pfalciparum,Shear,-0.3463861793429934
athaliana,scerevisiae,Shear,0.39777722759781886
celegans,dmelanogaster,Shear,0.5273585069482003
celegans,hsapiens,Shear,0.7762535308952543
celegans,pfalciparum,Shear,-0.16777079437011283
celegans,scerevisiae,Shear,0.10869480174011416
dmelanogaster,hsapiens,Shear,0.5604268626981587
dmelanogaster,pfalciparum,Shear,0.12706107522565774
dmelanogaster,scerevisiae,Shear,0.4230124035229161
hsapiens,pfalciparum,Shear,-0.11633824174937182
hsapiens,scerevisiae,Shear,0.10189039516372786
pfalciparum,scerevisiae,Shear,-0.0471499257500417
athaliana,celegans,Shift,0.6827134410239455
athaliana,dmelanogaster,Shift,0.3720586503958229
athaliana,hsapiens,Shift,0.3505980756071646
athaliana,pfalciparum,Shift,0.3607556712330576
athaliana,scerevisiae,Shift,0.688292186961474
celegans,dmelanogaster,Shift,0.514101532489448
celegans,hsapiens,Shift,0.5335513632683583
celegans,pfalciparum,Shift,0.2715262770723974
celegans,scerevisiae,Shift,0.3967489948753218
dmelanogaster,hsapiens,Shift,0.6531164562572184
dmelanogaster,pfalciparum,Shift,0.002526153079857598
dmelanogaster,scerevisiae,Shift,0.18208106325597875
hsapiens,pfalciparum,Shift,-0.2970378544126909
hsapiens,scerevisiae,Shift,0.17106812763454385
pfalciparum,scerevisiae,Shift,0.21517686949677478
athaliana,celegans,Slide,-0.44299257675363346
athaliana,dmelanogaster,Slide,0.48106872467521467
athaliana,hsapiens,Slide,0.3945979080913104
athaliana,pfalciparum,Slide,-0.050764097659469896
athaliana,scerevisiae,Slide,0.6885308759165208
celegans,dmelanogaster,Slide,0.21610367691637597
celegans,hsapiens,Slide,0.302810106104605
celegans,pfalciparum,Slide,-0.39579716411117766
celegans,scerevisiae,Slide,-0.6178186987642422
dmelanogaster,hsapiens,Slide,0.5109395861633445
dmelanogaster,pfalciparum,Slide,-0.21062318159029297
dmelanogaster,scerevisiae,Slide,0.22230462084077543
hsapiens,pfalciparum,Slide,-0.02900005794741975
hsapiens,scerevisiae,Slide,0.04733233326858369
pfalciparum,scerevisiae,Slide,0.13075248505249415
athaliana,celegans,Stagger,-0.11657033171493798
athaliana,dmelanogaster,Stagger,0.620972031244833
athaliana,hsapiens,Stagger,0.4955379275004247
athaliana,pfalciparum,Stagger,0.4556415882906879
athaliana,scerevisiae,Stagger,0.5895442801256604
celegans,dmelanogaster,Stagger,0.3804610641126959
celegans,hsapiens,Stagger,0.5011699383684985
celegans,pfalciparum,Stagger,-0.333895797932905
celegans,scerevisiae,Stagger,-0.20726444496755406
dmelanogaster,hsapiens,Stagger,0.6558707164660652
dmelanogaster,pfalciparum,Stagger,0.2918281568512382
dmelanogaster,scerevisiae,Stagger,0.35393367566397393
hsapiens,pfalciparum,Stagger,0.2169873513790147
hsapiens,scerevisiae,Stagger,0.2653908257193621
pfalciparum,scerevisiae,Stagger,0.3464212440472647
athaliana,celegans,Stretch,-0.22294512292554158
athaliana,dmelanogaster,Stretch,0.6657595559478541
athaliana,hsapiens,Stretch,0.4196142261766334
athaliana,pfalciparum,Stretch,0.44774675572441897
athaliana,scerevisiae,Stretch,0.7863525285566517
celegans,dmelanogaster,Stretch,0.3239814454726464
celegans,hsapiens,Stretch,0.6204502992217751
celegans,pfalciparum,Stretch,-0.28694675821396876
celegans,scerevisiae,Stretch,-0.35979070376142785
dmelanogaster,hsapiens,Stretch,0.5894972464845635
dmelanogaster,pfalciparum,Stretch,0.10210473171886134
dmelanogaster,scerevisiae,Stretch,0.5137098475186839
hsapiens,pfalciparum,Stretch,0.09526325222397176
